file,speaker,text
0b9964989a,421cb,अनसनमा बस्नेछु
0f2d9e7bbf,4570e,अनसन लगातार
03da6fcf96,541e4,अनामनगर काठमाडौँमा
0dc677a3ec,0e059,अनि उक्त कार्यक्रममा
009562cd5c,51385,अनि उनलाई मैले
01c4a54c46,e8f6f,अनि तपाईँको शिर
001d884c4a,541e4,अनि तिनका अर्थहरूका
0ee199a984,5a5e7,अनि त्यो जैसीले
05a29d84b1,38ad3,अनि नम्बर प्लेट
079bf277ab,29ed7,अनि नेपालमा के
02e6cdc931,e3a27,अनि पछि तिनीहरूलाई
00fd5f19fb,28f92,अनि बहुमूल्य पत्थरहरूको
0ce85a0873,1ad64,अनिभय गरेका थिए
032d7fd6bd,3df82,अनि यलमाया केन्द्रमा
07b730be23,6ee13,अनि स्वयम् राजा
007a5a8c03,319a8,अनि हामी पृथ्वीमा
014c4f0a2f,5b437,अनुकूल छन् विशेष
0286152c65,2001f,अनुकूलन भनिन्छ
03cc700632,750b9,अनुकूलन मानव निर्मित
0fc7d73900,6fa0e,अनुकूल भएका किताब
045db98507,8aea1,अनुक्रममा रह्यो
007e2ce2b9,e8f71,अनुक्रमलाई छोड्दछन्
0921a6ad60,3ff16,अनुभव गरेको छु
0ec3cf33ff,1f680,अनुभव र सत्यताबाट
0c1569b736,20ebe,अनुमति अधिकारको बारेमा
01b5e47804,89bd3,अनुमति दिइयो
0111137fe4,d8bcb,अनुमति समाप्त
036a1d6bc7,22333,अनुमान गरे
02b70ad1e7,83eb0,अनुमान गर्दै
0ffe1ecce6,5cef8,अनुमान लगाइएको थियो
006bc13a70,6d3c6,अनुमित व्यय भारत
09dda19a74,5b437,अनुराधाको जन्म
0fba3abc1c,49220,अनुरूप जनतामा गरिएका
0ea899408c,62ba7,अनुरोध गरे
0300d832e2,963b9,अनुरोध गरेका थिए
0f518d66f8,33d55,अनुरोध गर्दै छु
01f4795ac4,41d46,अनुवाद भइसकेका छन्
0f181cd9aa,5b02a,अनुवाद मात्र गरेनन्
01775a35ac,4b59a,अनुवाद है धन्यवाद
03a190f22c,ee253,अनुसन्धान संगठनमा आए
0e5302b660,b222f,अनुसन्धान संगठनमा आए
0af54ab4a8,45ef4,अनुसार उनले त्यस
08a16ca549,a893c,अनुसार ढुसीले गर्दा
0c0469d0f5,df1f2,अनुसार तकसेरा बागलुङ
0e441fc2f0,e455a,अनुसार पनिरमा
0beff0eac4,33783,अनुहार र पखालिएको
0679853ba4,e4596,अनेक कारण हुन्छन्।
0f55371c27,d62a4,अनेक तर्क दिइए
080bfc2c17,aead3,अनेक दुष्कर र
0aa7ab94de,5f67a,अनेक धारणाहरू छन्
03737a41cf,5bc3b,अनेक प्रकारका तथ्यहरूको
096660bd79,a3cce,अनेक प्रकारको संग्राहलय
0c8d3916d4,67933,अनेक योजनाहरूलाई
011d6a15b0,7ed61,अनेक विधिहरू प्रचलित
0857dfdbc7,6ee13,अनेक विधिहरू प्रचलित
0f7aeb9ef3,737fb,अनेक विश्व प्रसिद्ध
075acf2820,2f34a,अनेक हुन्छन् यसैले
03b2dfa97d,4c228,अनेकौं कारणहरूले गर्दा
0f9b1379ad,42be7,अनौठो प्राणीको पनि
0172bb819c,8fbe4,अनौठो म विधवा
07e9bc607b,d4c0f,अनौठो माछामध्येको
0e8eac1e93,55451,अन्डा भाले माछाको
03b8828c1b,0e35f,अन्तमा जावीले मेनचेस्टर
0b19237b6a,43655,अन्तमा पितृहरूको आकाशवाणी
0925a420b6,f9558,अन्तरङ्ग र बहिरङ्ग
024c6395ea,f1193,अन्तरङ्ग विभागमा विषम
0f7c16f200,c7f92,अन्तरदशालाई पुन विभाजन गरेर
0940970914,7de40,अन्तरपार्टी महिला संजालको
08e1f9c76b,3a78c,अन्तरलिन भारतीय उपन्यासकार
055548eb5f,0bb95,अन्तरिक्षमा समयका साथ
0d3405bcd6,e7519,अन्तर्गत डिजाइन दलले
0de2cdce3f,39b91,अन्तर्गत रहेर मालपोत
0a581919dc,6fcfb,अन्तर्राष्ट्रिय अन्तरिक्ष स्टेसन
08977dbc92,bda65,अन्तर्राष्ट्रिय आवागमन परिव्रजन
0d57457246,ca797,अन्तर्राष्ट्रिय एड्स सम्मेलनमा
0ef01450d3,55c0f,अन्तर्राष्ट्रिय क्रिकेट प्रतियोगितामा
0619ef28b7,b33c6,अन्तर्राष्ट्रिय महिला दिवस
05157b734b,5cef8,अन्तर्राष्ट्रिय रूपमै भने
0f90bee124,41295,अन्तर्राष्ट्रिय विमानस्थल
0bbbe6fb2c,95a0e,अन्तर्राष्ट्रिय श्रम सङ्गठन
0c37b64f30,7f9c6,अन्तर्राष्ट्रिय श्रम सङ्गठन
0112505e61,6c67c,अन्तर्राष्ट्रिय समाजवादी
0afa6359ac,f9558,अन्तर्राष्ट्रिय समुदाय
0e4b7a84b6,bc806,अन्तर्राष्ट्रिय स्तरका नेपाली
02c1264fa7,882ce,अन्तर्राष्ट्रिय हवाई मैदानको
0c004c4e0a,aeab9,अन्तर्राष्ट्रिय हवाई मैदानको
02842e85f8,c652e,अन्तर्वार्ता लिने क्रममा
022fa5675f,43813,अन्तसम्म दक्षिण पूर्वी
0aaf2e8b9a,b3cd4,अन्तिम चरणसम्म
0a84bcaa50,ee50f,अन्तिम दौरमा भएकाहरू
00cfbad117,4b59a,अन्तिम शनिबारका दिन
07f4b018ad,ef9b4,अन्त्य गरेर फेरि
0917cf422a,4b140,अन्त्य गरेर फेरि
02a48f182c,4ce22,अन्त्यमा खर्च बढाउने
00f6650270,b77af,अन्त्येष्टि सोमबार बुधबार
040700ce47,b77af,अन्धकार होइन
089fe45114,319a8,अन्धानुकरण गरेको छ
007f200d31,5d09c,अन्नपूर्णको उत्तरी मोहोडा
0c78b878f9,f45e2,अन्नपूर्ण भोजपुर जिल्लामा
0c36f63edf,aaf41,अन्नपूर्ण संरक्षण क्षेत्र
08c13d1b15,a2a69,अन्नपूर्ण हिम श्रृङ्खला
0bf6414142,5df8e,अन्न भवन क्याम्पस
064dd733a9,9b105,अन्ना हजारे र सूचनाको
0d74990b61,4dccf,अन्ना हजारेले पहिले
0926eee5f3,73d74,अन्य इकाइहरूको
0f0762bbf6,1f790,अन्य उपनिवेशहरूले पनि
04ede5f20c,22521,अन्य कार्यको लागि
0e238f72f3,2846f,अन्य कार्यहरूमा गरिन्छ
0bba7feb5c,d4b2f,अन्य कुनै पनि बहानामा
0f64f401a1,d0cd7,अन्य कोही छैन
01af4284df,70e10,अन्य गुरुजनहरूबाट
03842e9a84,1ff03,अन्य ग्रहको जीवलाई
086a447a55,b5ec7,अन्य जनतासँग
0c9b4700a1,2d07d,अन्य ठूला महानगर
0e25c3557b,1f1a9,अन्यथा दुख शोक
079da3ddbd,a2a69,अन्यथा मिल्दोजुल्दो शीर्षक
07d5ff3530,22521,अन्य नागरिक पुरस्कारको
03a5d7b149,39b91,अन्य परदेशीहरूलाई
0eb2db2cda,c4565,अन्य प्रधान सहरहरू
0aff039240,42be7,अन्य प्रयोगकर्ताहरूले आफ्नो
082eb29755,d0756,अन्य भागहरू जस्ताको
0c2aa435a8,65bbb,अन्य भाषा बोल्नेको
01e4fff569,4b59a,अन्य मनोनितहरू पनि
02e7b7c60b,4dccf,अन्य यातायातको साधन
00b316fa0b,5f3e5,अन्यले राष्ट्रिय
04146d22ca,95635,अन्य व्यक्तिहरूलाई दिक्सूचकको
05bb24c443,b70ea,अन्य व्रत छैन
003da50507,737fb,अन्य सबै प्रकारको
0d928cbdf1,f7bfe,अन्य सबै स्कुलहरूलाई
0f12451c9a,bb466,अन्य सहायक नदीहरू
03f63bd30d,5d09c,अन्य सामेल छन्
03aaf85cef,0d8ef,अन्य हजारौंलाई
08b2c65308,b0f78,अन्यायको विरुद्धमा
0a0fbc54f8,ef9b4,अन्वेषण गरे
045bd85305,9d08c,अन्साजले कुनै विश्वविद्यालयमा
0ca5965112,ba7f5,अपकृत्यविधिको अवधारणा अनुरूप
09759139f4,3e371,अपकृत्य विधिले अर्काको
0fdc2fab36,3d3c5,अपकृत्य हो
0b28a35632,83732,अपच हुनुको कारण
0d4f126862,056c7,अपनाइएको तथा पहिलो
06cca59898,d4b2f,अपनाउने छन्
0f8402043c,c55fb,अपमान ठान्यो
0d1eea84b4,0d4f0,अपराध भयो भने
07d4376d54,a2a69,अपरिहार्य छ
0c406f829f,d4e86,अपलोड गरेको फाइल
05bb5da5a7,885af,अपलोड गर्दा सोको
0fb03e4b8a,deca4,अपवित्र नसम्झ
09e672af7e,12e6a,अपेक्षा अनुसारको काम
02483f7881,84519,अप्टिकल शब्दबाट नै
0c09c816c9,5935d,अप्टिक्सको अध्ययन गरे
0895fa1a49,12d45,अप्ठ्यारो परेमा
0da5481090,fc62e,अप्सरा किन्नर तथा
015883d63a,3240f,अफगानिस्तान पनि ग्रिक
07d294829e,b1066,अफगानिस्तानबाट अमेरिकी सेना
0c2982f6c6,a1c52,अफ वर्ल्ड रेकर्डको
097cd5f84a,01173,अफिम एक
0e00581027,b3c22,अफिसमा भने
067a67d2c1,6fcfb,अफ्रिका नेशनल कङ्ग्रेसका
0cb3e5fac7,db4bc,अब उनले एक
07b6c6c92d,58428,अब उनले मिस
0d538ca869,8ef94,अब एकता देखाउने
01723c950f,e3a27,अब जतिसुकै उत्कृष्ट
0744610acb,a3872,अब तपाईँ पनि
0b743aa015,23888,अब तपाईँं नै
067b8fc3c4,8a71e,अब त हाम्रो
01663d527e,297d5,अब बाँचेर यो
012af65cac,66260,अब म माथि
00b731d07d,ee687,अबार्दिन इन्टरनेसनल कलेज
0f8cd2ced4,b1c95,अबुल फजल इब्न
0841adcdaf,7470e,अब्दुल कलामको जीवनमा
01b57f7b06,bf3e7,अब्बासिहरूको राजमा
04c92364ce,94417,अब्राहम लिङ्कन अमेरिकाका
0fb845be7b,1b29c,अब्राहम लिङ्कनले यो
0d5d3e8f85,aec56,अभक्त रजोगुणी विशेष
0433360560,ca5ed,अभाव हुँदा
068491c287,db4bc,अभिजालो अथवा अबिजालो
0ad07a323d,2483a,अभिनयको सुरुवात गरिन्
03361484d2,1f680,अभिनय र निर्देशनमा
0670d386aa,0bd28,अभिनय र निर्देशनमा
0621e3b1e9,1b37d,अभिनेता तथा मोडल हुन्
0be1112d45,62ba7,अभिनेता भनेर
0651774397,51971,अभिनेत्री एस्ली इरिक्सनको
05763e349b,94417,अभिनेत्री निर्माता
0141f1ecb9,e72b0,अभिनेत्री समान्था
0a5510e017,8efbc,अभिनेत्री समान्था
02e5eeaea6,c0181,अभिन्न अङ्ग मानिने
0c55043e50,68a9f,अभिन्न अङ्ग मानिने
018521d042,d8b68,अभियानका लागि आयोजित
08eb0b631b,f4b4a,अभियान साबित भएको
0e6944324d,c55fb,अभिलक्षणहरूलाई यसप्रकार देखाइन्छ
08c28a13f7,33783,अभिलेखका लागि माग
0ac220eee8,f65eb,अभ्यास गरेर गधायुद्ध
0ed06daf24,d31e9,अमरकोश रुद्री
034b27b158,51385,अमरगढी महाकाली
0dc1a16408,7470e,अमरपट्टी बारा जिल्लामा
0efc21ec70,421cb,अमिताभको पोस्टमा आएको
0200157b71,fc4f4,अमिताभ बच्चनका
0204ccf18f,3e9ed,अमिताभले आफ्नो ब्लगमा
087718fb7c,92003,अमितासित भयो
04d25bde14,412d7,अमूल्य निधि र राष्ट्रको
08c0d99f78,96e21,अमृतसरी काम गर्छ
00fd703cf5,3050a,अमेजन किन्डल
0ba5b5e7c4,319a8,अमेरिका आदि देशको
02a7ece3ac,5a5e7,अमेरिका आदिवासीले आफ्नो
001d578a71,73b5e,अमेरिकाको संस्थापन पक्षको
0dab3ccd09,09eb9,अमेरिकाबाटै पूरा गरेका छन्।
0dda1f11dd,4c228,अमेरिकामा सैकडौँ
054d968a1c,f743c,अमेरिका यात्रा
08e0eb6b8c,cc4bf,अमेरिका र क्यानाडामा
03be53e726,3b08b,अमेरिका र पारम्परिक
090f9bffea,f8686,अमेरिका र ब्रिटेनको
0bf40de7fe,1cec5,अमेरिकी लेबर डे
022b97edaf,daa0a,अमेरिकी विज्ञान कथा
0b34535ca9,109c6,अयान इनकलेन्ट म्यान लेखक तथा उपन्यासकार म्याक्सिम गोर्कीद्वारा लिखित लघुकथा हो।
097eea5d66,e75fc,अरनिको राजमार्ग यसै
0104ca0fc0,c89a6,अरुचि भएको
0d6b4edb2c,7de40,अरु पनि धेरै थर
0efd368943,f6e28,अरुलाई पनि
070d257532,885af,अरुसँग रहँदा भौतिक
082485938d,1ad64,अरू उप जातिहरू
0344122a5e,8dfc8,अरू दुई जना
02689a7e2c,55451,अरू पनि धैरै
0b076e5662,f9ab5,अरूले आफ्नो गोत्रको
09eb0749d3,1654e,अर्काले गलत भने
0f2667b538,06372,अर्का समूहको ती
0a073fffe8,79c24,अर्को अङ्गडेन रोडमा
01605b5099,49220,अर्को किनारलाई छुने
0c04530880,581da,अर्को कुनै पनि
0d294361a9,c09aa,अर्को कुनै विकल्प रहँदैन
0e693162b6,5f67a,अर्को कुरा दैलेख
075d971c5d,b365e,अर्को कुरा यदि
0a49c41210,2d07d,अर्को कुरा यदि
0518207f26,c06a7,अर्को चेलो गोबर्धन दासले
04b76619c4,0f29b,अर्को ठाउँमा सर्नु हो
0acd234500,7831d,अर्को नयाँ टेम्प्लेट
0a30b05cf0,d8b68,अर्को नियमको ढुकुटीमा
0236828805,39b91,अर्को नेपाली पुराण
0ec623f9d8,5bc3b,अर्को भवनको नाम
0003991b47,24945,अर्को भाषामा लेखिएको छ
079286896d,75f34,अर्को भेटिएन
03bfd627a5,5a9c4,अर्को विधि महत्तम
0b74823fcb,9f669,अर्को शब्दमा जब
06c42722b8,14763,अर्को सबैभन्दा लामो
079c50347f,95a0e,अर्घाखाँची जिल्ला सदरमुकाम
0c93a1ad58,39e3b,अर्घाचुन्नाबेसीमा वार्षिक
02eb5c76f9,31a35,अर्छानी जाजरकोट जिल्लामा अवस्थित एउटा गाविस हो।
041c3d499d,73d74,अर्जुनकुमार खड्का बताउनुहुन्छ
0b6f39a04f,39b91,अर्जुनले त श्रीकृष्णलाई
0954cb3e48,14abf,अर्जेन्टिनाको सोसाइटी अफ
008d6ce74e,ee50f,अर्थ करिब उस्तै
0d86b6e2e4,5cef8,अर्थका साथ आफ्नो
0415a0e996,dd9b6,अर्थ दिन्छ
00fa172c5b,39ab2,अर्थमन्त्री हुनुहुन्थ्यो
0c55e7c785,ceb25,अर्थमन्त्री हुनुहुन्थ्यो
024f1f4527,61821,अर्थ राष्ट्रबैंक र
022e6a691d,a3cce,अर्थवेदमा व्याख्या छ
011b6673b6,a3cce,अर्थव्यवस्थाको ला
05658c67c0,d62a4,अर्थ हुन्छ जो
06007dd161,90bdd,अर्थ हो कुलीन
0f3491c0e3,c359d,अर्थ हो कुलीन
0123dc7be6,4483c,अर्थात द्रङ्गको चारभागको
02ca0f2ede,da6d1,अर्थात् दागडा स्वामित्व
04763bbd1c,bee0c,अर्थात् दुवोको लुगा
0093c0debc,2273c,अर्थात् प्रथम पटक
0f14a98e24,5f3e5,अर्थात् शिरको शोभा
032c61186c,0a094,अर्थुन बजार पर्वत जिल्ला त्रिबेनि गाविसमा छ।
02b3d9c63d,d47d3,अर्धवार्षिक रूपमा हुन्छ
0dc32a5734,6c16b,अर्ध साप्ताहिक
0328f78b06,5f02c,अर्नाल्ड पामर आमन्त्रणमा
0f593d6258,f4b4a,अलग क्षेत्र मानिन्छ
0a1cf0a7df,938ee,अलग गरिदिए
0de1b88aad,70e10,अल महानिले ज्यामितीय समस्याहरू
06177e1946,b0bba,अलिकति ज्ञानको
03a52b5658,43813,अलि मेल नखाने
081f862a89,09022,अलेक्जेन्डरको फारस विजय
024c84db09,e75fc,अल्पमतमा पर्‍यो
0717d014ba,d8cef,अल्पमतमा पर्‍यो
095eb69258,1f790,अवकाश प्राप्त गर्नमा
05017aed05,58fb5,अवगत नै छ
091d488ab2,a5793,अवधारणा प्रस्तुत गरियो
05718a29ca,fad24,अवधारणा भएकाले यसको
0e58b2ced9,93014,अवधिको लागि
09a7530c03,bf591,अवधि भाषा नेपाल र भारतको एक विशाल भूभागमा बोलिन्छ।
010311a70b,abc37,अवलचिङ्ग सुर्खेत जिल्लामा अवस्थित एउटा गाविस हो।
0477e1e401,79c24,अवश्य हुने गर्दछ
07fd4affc3,2d618,अवसर पनि यस
07eae924a7,0234b,अवसर प्राप्त गरे
0000c0f43b,5bc3b,अवस्थालाई ज्योतिषमा
07aad50c82,6ee13,अवस्थित गाउँ
0b09ee26c9,43813,अवस्थित धार्मिक
06cb42c5af,cb74d,अवस्थित विद्यालय हो
04f372a323,ee687,अ वाल्टज
065396a23f,fc62e,अविलम्ब र नाटकीय थिए
087a9fcff3,11c8b,अविलम्ब र नाटकीय थिए
0184050f4f,7b45e,अष्ट्रेलियाका पूर्व
024dc8a43e,11c8b,असङ्ख्य भक्तजनको जमघट
0037b0503e,ba3bf,असन्तुलन हुनु हो
0e1995f0c5,7b45e,असफलताहरूलाई अपवाद मानिन्थ्यो
01ab21c467,01cf0,असफल हुन सक्छ
03e5264af0,58428,असर पर्नेगरी त्यस्तो
0a1516422b,7f7ce,असरहरूको अध्ययन अनेक
0aa8807fab,30b96,असाधारण प्रदर्शन गर्दै
05b9866979,fd59f,असामयिक करार
03d689dcb5,89bd3,असार महिना
02bcb89d9b,daa0a,असोजदेखि फागुनसम्म फलहरू
07d3fb8d62,f5a31,असोजमा भएको थियो
06d3019941,6fa0e,असंवैधानिक भयो
0b02c151f2,3c2c4,अस्ट्रेलिया अस्तित्वमा आयो
08d8d1dfd3,15b60,अस्ट्रेलियाको नीतिलाई
0f7c5cae41,8478c,अस्ट्रेलियामा कुनै उपराजकीय
0c3f7fdfdd,6fcfb,अस्ट्रेलियाली अर्थव्यवस्थाका लागि
042ff5d9ae,5a9c4,अस्ट्रेलियाली आदिवासी नागरिक
02da9a8fe4,18008,अस्ट्रेलियाली आदिवासीहरूको अधिकार
05a5fb0b87,d8bcb,अस्ट्रेलियाली आदिवासीहरूको अधिकार
083bb1d313,581da,अस्ट्रेलियाली मारिए
0fac73385b,c536c,अस्ट्रेलियाली राजधानी
031203bdfa,c2858,अस्ट्रेलियाली राजधानी क्षेत्रको
05f6248725,5df8e,अस्ट्रेलियाली राजधानी क्षेत्रको
0645e9d7cb,3999a,अस्ट्रेलियाली साहित्यमा पनि
02bc29c9b8,09eb9,अस्ट्रेलियाली सेनामा भर्ती
0fde1323cb,4b140,अस्तित्व छ
00b274b107,7470e,अस्पताल काठमाडौँको
02d391e259,6b883,अस्पतालको एउटा
00192533bc,1ff03,अस्पतालमा अलग्गै ट्रमा
0219712651,41d46,अस्पताल विकास समिति
0fcebc498a,2f34a,अस्पृश्य जातिहरू छन्
052659ab20,41295,अस्वीकार गरे
027cfc2246,d02b3,अस्वीकृत साहित्य आन्दोलन
0b359f3fdf,deca4,अस्वीकृतहरूको एउटा
00c17c5c23,c652e,अस्सर एक जना
0aa3cea3f4,2e769,अहमदनगरका शिक्षण संस्थाहरूमा सबै भागदेखि विद्यार्थी आउँछन्।
028e6419da,4ce22,अहमदाबाद जिल्ला भारतको
09010eca95,1b29c,अहिले उत्परिवर्तनको लागि
0d96d354de,89bd3,अहिले उपलब्ध छैन
03ae9ecf41,7070f,अहिले उपलब्ध हुने
018c285a40,7c0af,अहिले त्यस गाविसको
0a445f64eb,07a6a,अहिले नेपाल सरकारको
09757a90ba,89bd3,अहिले पनि मगर
011080df7b,163a6,अहिले बागबजार स्थित
07b4178f60,7c42f,अहिले भैरहेको छैन
02b71c9b93,363a2,अहिले मानिसहरूको आयु
0f73412b65,34766,अहिंसा पनि
018c94fdd0,ce4af,अहिंसा हुन सक्दैन
0fe30ef5ee,51971,अहिंसा हो
07974dd046,f09e5,आआफ्ना सुझावहरू यहाँ
08e5c3bf20,555eb,आइ इन द स्काई
03929ed7cd,55451,आइएफएस परीक्षा
01e1f22894,d514c,आइट्युन्स साउन्डट्र्याकमा
0a2b791266,41b2c,आइतबार टिकटको
0c81cde30c,b222f,आइतवार आदि
004121d71b,bad17,आइन्सटाइन कलेज
0849acafc4,ee687,आइन्सटाइन कलेज
0566ba561c,1f790,आइपुगेका थिए
09a8262c47,b8154,आइफल टावर आर्क
0b049e4b0e,393a5,आइफल टावर आर्क
05ca941035,81624,आइफोन फोर एस
06b45654ad,db4bc,आइफोन फोर एस
0a25d267c2,b1066,आइल्यान्ड तथा बेलायतदेखि
0a649cf6ca,44559,आईएसएसएनको मुख्य कार्यालयमा
03d9badf6c,8fbe4,आईएस्सीको पढाइ
058610caf9,809f3,आउटको सहारा लिनु
088744947c,7c42f,आउट भए
0949a2d952,276bb,आउन थालेका छन्
06a80c7835,370bf,आउन रुचि गर्छन्
0a827d5eb7,b70ea,आउनाले यसमा परिवर्तन
026d0f176a,bdfe3,आउनु भएको छ
09a0815f71,5b437,आउँदा दिनमा सम्पूर्ण
085949d913,f6e28,आउँ पर्दा
050c7cc109,41295,आएका युरेनस नेप्च्युन
0859261524,29c22,आएकी हुन र हालसम्म
0de5465992,c57bb,आएको कमी र बेलायतले
0f4347d054,6d3c6,आएको कुरा सबैका
068033f965,f6b2d,आएको छ
002668d6ff,daa0a,आएको छु र
06cb843e63,4b22c,आएको सुधारसँगसँगै
03ab79363d,8b655,आएर किराँत समुदायमा
05ae391753,2d618,आएर रोक्छन्
03c3741a8e,319a8,आकर्षित हुन थाले
0fa7d8373b,9b105,आकस्मिक कक्षमा पुर्‍याइने
0662edb9b5,d0cd7,आकारका दृष्टिले अत्यन्त
0a9fe934c4,5d09c,आकारको भाँडो।
03ac98788b,1df77,आकार तथा भालाका
0f7b596159,fe533,आकार भने लगभग
0d19b564d8,c06a7,आकार हुन्छ
01f0b0f68c,fea0e,आकृति तथा वर्तमान
0812ea8069,5df8e,आक्रमण भै रहन्छ
